"Please create your account using this link: <a href=""http://www.welovecustomers.fr/developpez-le-parrainage-en-e-commerce/?utm_campaign=install-plugin&utm_source=magento2&utm_medium=' . . '&utm_term=' . . '"" target=""_blank""> Create my referral program</a>","Please create your account using this link: <a href=""http://www.welovecustomers.fr/developpez-le-parrainage-en-e-commerce/?utm_campaign=install-plugin&utm_source=magento2&utm_medium=' . . '&utm_term=' . . '"" target=""_blank""> Create my referral program</a>"
"Module version %1 (latest  version available: %2)","Module version %1 (latest  version available: %2)"
Sponsorship,Sponsorship
Reporting,Reporting
"Find more information on our website WeLoveCustomers","Find more information on our website WeLoveCustomers"
"Go to Advanced Reporting","Go to Advanced Reporting"
"Reward offer","Reward offer"
"Welcome offer","Welcome offer"
"NPS Score","NPS Score"
"Your module is not configured yet","Your module is not configured yet"
WeLoveCustomers,WeLoveCustomers
Setup,Setup
General,General
"API key","API key"
"API Glue","API Glue"
"Price Type","Type de prix"
"Order Id Type","Type d'identifiant d'achat"
